trade_date,weighted_dividend_rate,sh_close,nation10_yield,weighted_dividend_rate_div_nation10
2005-04-29,8.48342793400825,1159.146,,
2005-05-09,8.38257305923722,1130.835,,
2005-05-10,7.419503735325507,1135.561,,
2005-05-11,8.311060779610195,1124.271,,
2005-05-12,7.600535818650623,1103.993,,
2005-05-13,8.03547656147987,1107.627,,
2005-05-16,8.240624431321086,1095.468,,
2005-05-17,11.027731997834325,1099.64,,
2005-05-18,10.60868857824014,1102.965,,
2005-05-19,13.5617337065547,1103.475,,
2005-05-20,12.083207283737025,1099.269,,
2005-05-23,10.702036255829444,1070.844,,
2005-05-24,9.715118157638086,1073.847,,
2005-05-25,9.070249601392833,1072.137,,
2005-05-26,9.151438842173352,1058.867,,
2005-05-27,8.039032864932885,1051.946,,
2005-05-30,9.322643089287292,1060.162,,
2005-05-31,9.060589132306514,1060.738,,
2005-06-01,8.261533819543049,1039.187,,
2005-06-02,10.032387657430732,1016.063,,
2005-06-03,7.563837409442919,1013.637,,
2005-06-06,10.272223657339874,1034.378,,
2005-06-07,9.2692662413416,1030.941,,
2005-06-08,8.82200522343357,1115.582,,
2005-06-09,8.925836551077792,1131.052,,
2005-06-10,9.032791324722826,1108.286,,
2005-06-13,18.767952654203736,1106.291,,
2005-06-14,15.60218385726423,1093.464,,
2005-06-15,11.738769074544196,1072.836,,
2005-06-16,7.717232301499171,1086.01,,
2005-06-17,16.371237451078777,1085.61,,
2005-06-20,7.375147675149231,1115.62,,
2005-06-21,5.319219767266132,1101.486,,
2005-06-22,5.832221874453575,1102.033,,
2005-06-23,6.611028097098215,1093.702,,
2005-06-24,6.397527132701424,1101.882,,
2005-06-27,7.641298172472872,1124.64,,
2005-06-28,6.148830159177352,1108.588,,
2005-06-29,6.604397091688352,1104.992,,
2005-06-30,5.465985768625393,1080.938,,
2005-07-01,5.354011970705726,1055.594,,
2005-07-04,5.684858492763269,1047.278,,
2005-07-05,4.840798615623677,1039.043,,
2005-07-06,7.716926069246436,1033.545,,
2005-07-07,5.110273905764171,1038.597,,
2005-07-08,6.037739037433156,1017.983,,
2005-07-11,5.751939744063001,1011.499,,
2005-07-12,5.241385759096612,1046.161,,
2005-07-13,4.293567750451578,1037.394,,
2005-07-14,5.428063780359027,1040.416,,
2005-07-15,6.981467409003831,1026.115,,
2005-07-18,5.218095120817844,1012.097,,
2005-07-19,6.08089877189814,1014.355,,
2005-07-20,8.10238147867777,1021.052,,
2005-07-21,5.561810589304652,1020.632,,
2005-07-22,6.855746210179421,1046.321,,
2005-07-25,7.131752954442942,1045.4,,
2005-07-26,7.406974482758623,1072.807,,
2005-07-27,6.309167643934566,1089.909,,
2005-07-28,6.860631144420653,1086.548,,
2005-07-29,5.280830172852059,1083.033,,
2005-08-01,6.090112550281576,1088.948,,
2005-08-02,7.063285766518674,1104.038,,
2005-08-03,6.6198807331805885,1107.699,,
2005-08-04,6.427449436475411,1102.589,,
2005-08-05,6.5774689564761415,1128.743,,
2005-08-08,5.964161247058824,1138.882,,
2005-08-09,6.698964971910111,1152.534,,
2005-08-10,8.156126066209364,1165.033,,
2005-08-11,7.575950654837347,1183.579,,
2005-08-12,6.731790068280572,1167.915,,
2005-08-15,6.436624169184289,1187.006,,
2005-08-16,6.063591185962081,1177.278,,
2005-08-17,6.459238644756277,1192.834,,
2005-08-18,6.350224023260039,1148.035,,
2005-08-19,6.490499175164967,1150.184,,
2005-08-22,6.0129027082008895,1158.597,,
2005-08-23,6.255081802787547,1149.957,,
2005-08-24,5.321306342598262,1167.137,,
2005-08-25,5.999845205664195,1172.475,,
2005-08-26,6.058269344338525,1171.86,,
2005-08-29,6.483173082893511,1154.428,,
2005-08-30,5.7347037684926025,1146.385,,
2005-08-31,5.712932979591836,1162.798,,
2005-09-01,5.465975115207376,1184.933,,
2005-09-02,5.363615264168097,1188.848,,
2005-09-05,5.900185143420188,1196.224,,
2005-09-06,5.735224748201439,1173.322,,
2005-09-07,5.423879507947758,1194.309,,
2005-09-08,5.296045123684959,1194.411,,
2005-09-09,5.23716612871482,1189.625,,
2005-09-12,5.616476208749041,1188.212,,
2005-09-13,5.992748708602376,1207.164,,
2005-09-14,5.318549084577114,1217.261,,
2005-09-15,6.026280256696428,1217.281,,
2005-09-16,5.582609922073214,1212.947,,
2005-09-19,5.154994540167994,1220.627,,
2005-09-20,5.9996084776373095,1212.617,,
2005-09-21,6.102494448494949,1187.988,,
2005-09-22,6.407563612618043,1159.96,,
2005-09-23,6.386859730332308,1151.98,,
2005-09-26,6.195864916011056,1155.042,,
2005-09-27,5.796392197630227,1133.237,,
2005-09-28,5.679805432221257,1131.774,,
2005-09-29,6.78609737892496,1155.485,,
2005-09-30,6.584611182252684,1155.614,,
2005-10-10,6.597966203620722,1138.95,,
2005-10-11,7.185749258104149,1157.192,,
2005-10-12,6.27718208175761,1161.853,,
2005-10-13,7.446227976312027,1152.607,,
2005-10-14,5.835975770962536,1139.547,,
2005-10-17,6.6735172434427055,1131.375,,
2005-10-18,7.011367711283691,1141.201,,
2005-10-19,7.116200049756194,1134.608,,
2005-10-20,6.742761296236385,1135.949,,
2005-10-21,7.387523924671275,1141.318,,
2005-10-24,5.172233852198883,1141.171,,
2005-10-25,6.054930071977553,1121.918,,
2005-10-26,9.35107241503977,1097.161,,
2005-10-27,6.776460946745561,1097.782,,
2005-10-28,7.475383484005564,1080.867,,
2005-10-31,9.735695316804408,1092.817,,
2005-11-01,8.714522383883605,1089.95,,
2005-11-02,7.493478537920251,1104.792,,
2005-11-03,7.759458511837656,1095.273,,
2005-11-04,7.643777521501175,1100.045,,
2005-11-07,12.778285784313727,1100.65,,
2005-11-08,7.801665426531381,1110.147,,
2005-11-09,7.759717229059151,1108.153,,
2005-11-10,7.033971462079751,1088.301,,
2005-11-11,8.026611229698377,1090.195,,
2005-11-14,8.302981946802491,1088.653,,
2005-11-15,8.109794539249148,1087.508,,
2005-11-16,7.476747872816839,1095.89,,
2005-11-17,11.116064715189877,1095.31,,
2005-11-18,7.165043555054491,1116.999,,
2005-11-21,7.092509045031056,1119.936,,
